algorithm,instance,seed,rounds,pool_med,nND_med,nLT1_med,nEq1_med,nGt1_med,selLT1_med,selEq1_med,rejEq1_med,rejLT1_med
QGS,100_2_3_1,20260822,16,300,73,73,0,221,73,0,0,0
QGS,100_2_3_1,20260823,16,300,96,85.5,1,204,85.5,0,0,0
QGS,100_2_3_1,20260824,16,298,66.5,64,0,233,64,0,0,0
BASE,100_2_3_1,20260822,62,264,97.5,97,0,165,97,0,0,0
BASE,100_2_3_1,20260823,62,253,101.5,100.5,0,155,100,0,0,0.5
BASE,100_2_3_1,20260824,62,278,108,107,0,174,100,0,0,7
QGS,20_2_3_1,20260822,18,300,108.5,107.5,0.5,191.5,100,0,0,7.5
QGS,20_2_3_1,20260823,18,300,102,100.5,0,197.5,99.5,0,0,1
QGS,20_2_3_1,20260824,18,300,90,90,0,210,90,0,0,0
BASE,20_2_3_1,20260822,62,277.5,107.5,107,0,171,100,0,0,7
BASE,20_2_3_1,20260823,62,286,108,108,0,177.5,100,0,0,8
BASE,20_2_3_1,20260824,62,269,110,110,0,160,100,0,0,10
