generation,mainFE,parentSlot,factory,role,pSeq,pMac,pWor,pSet,pFat,maximumType,secondType,maximumPressure,secondPressure,pressureGap,confident,diagnosis,reason,criticalOperations,mask,decision,decisionActions
22,147207,4,1,G1_CMAX,0.7784806548139912,0.7840485056079218,0.756344074642555,0.15690212816114898,0.42987716291880484,MAC,SEQ,0.7840485056079218,0.7784806548139912,0.005567850793930629,false,BAL,FULL_MASK_AUDIT,6,N1|N2|N3|N4|N5,APPLY,N3
22,147208,5,2,G1_CMAX,0.5799893550583046,0.6293363377245156,0.6199880491366252,0.21397618852484013,0.32831217784675204,MAC,WOR,0.6293363377245156,0.6199880491366252,0.009348288587890385,false,BAL,FULL_MASK_AUDIT,7,N1|N2|N3|N4|N5,TEST,N1|N2|N3|N4|N5
22,147213,6,1,G1_CMAX,0.6219794041051011,0.6677120862000265,0.6203407537671469,0.16848011883551545,0.23064856749960816,MAC,SEQ,0.6677120862000265,0.6219794041051011,0.045732682094925425,false,BAL,FULL_MASK_AUDIT,3,N1|N2|N3|N4|N5,APPLY,N3
22,147214,7,0,G1_CMAX,0.7363398513827963,0.7338190621775786,0.6294441112972183,0.1609427316083767,0.542621151247307,SEQ,MAC,0.7363398513827963,0.7338190621775786,0.0025207892052176994,false,BAL,FULL_MASK_AUDIT,10,N1|N2|N3|N4|N5,APPLY,N5
22,147215,8,0,G1_CMAX,0.7665227435765709,0.7916518368471493,0.6554474489607867,0.17107959395297045,0.5281572067260882,MAC,SEQ,0.7916518368471493,0.7665227435765709,0.02512909327057844,false,BAL,FULL_MASK_AUDIT,8,N1|N2|N3|N4|N5,APPLY,N1
22,147216,9,0,G1_CMAX,0.7865384466741646,0.7916280277575767,0.4885132903451955,0.19450685252651712,0.4214406242720071,MAC,SEQ,0.7916280277575767,0.7865384466741646,0.005089581083412065,false,BAL,FULL_MASK_AUDIT,8,N1|N2|N3|N4|N5,APPLY,N3
22,147217,10,0,G1_CMAX,0.7551887822197034,0.7864270452071522,0.6164096547935304,0.18980492236676932,0.5558606288317406,MAC,SEQ,0.7864270452071522,0.7551887822197034,0.031238262987448806,false,BAL,FULL_MASK_AUDIT,11,N1|N2|N3|N4|N5,APPLY,N1
22,147218,11,0,G1_CMAX,0.7612645321512868,0.7789720419821544,0.6409949193260075,0.20182445318144457,0.4493334246924254,MAC,SEQ,0.7789720419821544,0.7612645321512868,0.017707509830867663,false,BAL,FULL_MASK_AUDIT,9,N1|N2|N3|N4|N5,TEST,N1|N2|N3|N4|N5
22,147223,12,0,G1_CMAX,0.7335697736476428,0.7597551225298174,0.576074843385108,0.1867727478791844,0.4386905800387766,MAC,SEQ,0.7597551225298174,0.7335697736476428,0.02618534888217461,false,BAL,FULL_MASK_AUDIT,9,N1|N2|N3|N4|N5,APPLY,N3
22,147224,13,0,G1_CMAX,0.7882463144620615,0.8002023323833989,0.4983022141182532,0.19224157103348105,0.272844829016664,MAC,SEQ,0.8002023323833989,0.7882463144620615,0.01195601792133738,false,BAL,FULL_MASK_AUDIT,9,N1|N2|N3|N4|N5,APPLY,N3
