candidateId,parentId,lineageId,generated,admitted,evaluation,generation,cmax,tec,twc,subSwarm,mechanism,operator,enteredCandidateSet,pddrRetained,personalArchive,globalArchive,nextRoundSurvival,g1SocialTeacherParticleUses,g1SocialTeacherGenerations,g1PersonalTeacherParticleUses,g1PersonalTeacherGenerations,firstTeacherFE,lastTeacherFE,firstTeacherGeneration,lastTeacherGeneration,fingerprintSha256
1,INITIAL,-1,true,true,1,0,417.041369677306,13007.457203173424,28831.898633504217,UNASSIGNED,INITIAL,INITIAL,true,false,false,true,NOT_SELECTED,0,0,0,0,,,,,f694e023db4542d820a81f521bee779bf7192104380b507fdc3d6ba180de1cea
2,INITIAL,-1,true,true,3,0,416.849806384074,13729.247727038965,29122.781518226060,UNASSIGNED,INITIAL,INITIAL,true,false,false,true,NOT_SELECTED,0,0,0,0,,,,,94eca3699d98989ce5c60b9e24632ed84c9cca8677ab46c547f11a982833c466
3,INITIAL,-1,true,true,4,0,388.455700521809,12837.993819513100,26758.939002656236,UNASSIGNED,INITIAL,INITIAL,true,false,false,true,NOT_SELECTED,0,0,0,0,,,,,cb3cb1a761933424d8f8f93177bcd30a101ffc5d21437fbc77f98ea8c505455e
4,INITIAL,-1,true,true,5,0,270.259961012823,11932.379890691655,22126.002484851793,UNASSIGNED,INITIAL,INITIAL,true,false,false,true,NOT_SELECTED,0,0,10,1,100,700,1,1,8e1d5de04bb733ec573bd4832b718b01f9034fcd74feedf65bf73ba44c03169b
5,GLOBAL_SLOT_G1_CMAX,5,true,true,106,1,244.749088597086,12116.483363602663,18159.374961799316,G1_CMAX,CFVF,CFVF,true,false,false,true,NOT_SELECTED,20,1,0,0,200,200,1,1,8ac8991942e412fb50b592c5e8d7b4ab1aeb230f3c3a92d18716baad7d1c8262
6,GLOBAL_SLOT_G3_TWC,23,true,true,282,1,238.952296128000,10855.423275616610,18075.970757274616,G3_TWC,CFVF,CFVF,true,false,false,true,NOT_SELECTED,240,1,0,0,300,1900,1,1,d1238882093a39afba66c8c306707e247d48a0139cbd94262f266dda616a8bac
7,GLOBAL_SLOT_G1_CMAX,63,true,true,419,1,223.098274698871,11007.011200017374,18659.190256641745,G1_CMAX,CFVF,CFVF,true,false,false,true,NOT_SELECTED,580,1,0,0,2000,5000,1,1,8605bcafe9dcd3db0b4515d9e0f252716563675d68fe5b40313aa5fa32eb42e0
8,GLOBAL_SLOT_G3_TWC,81,true,true,696,1,219.014667242620,11349.249830881252,20084.112455011090,G3_TWC,CFVF,CFVF,true,false,false,true,NOT_SELECTED,0,0,0,0,,,,,ffd2f7be9756770217461e41bc729ae2cbef1957f70525decbc7227b90cca6b5
9,GLOBAL_SLOT_G1_CMAX,63,true,true,2918,1,217.536528042557,11511.168614670883,18059.136856111570,G1_CMAX,CFVF,CFVF,true,false,false,true,NOT_SELECTED,0,0,0,0,,,,,6fbde0d793d738bbb9920c0d982404f398d54174c6da593f9f23f8b9412f487a
10,GLOBAL_SLOT_G1_CMAX,63,true,true,4915,1,213.497372998042,11315.069800437734,18017.818623386138,G1_CMAX,CFVF,CFVF,true,false,false,true,NOT_SELECTED,0,0,0,0,,,,,862eff0e914af0d1d696456af18491d44ab7204ca2bcb89d4421ea2820d7f324
11,NOT_APPLICABLE,63,true,true,6068,1,209.602907657558,11290.288585592712,16699.620069884920,G1_CMAX,FIXED_VNS,O1_O9,true,true,true,true,NO,0,0,502,5,6767,33662,2,6,8997b3bb14910beb8e929440c1fbde233236dd170825aaf9f0ca446c85fc4c2f
12,NOT_APPLICABLE,268,true,true,32674,5,207.869871090885,10879.357490199727,16718.875911617135,G1_CMAX,FIXED_VNS,O1_O9,true,false,false,false,NOT_SELECTED,0,0,0,0,,,,,b998850bab4c870ecbc561c81d0b6321adae0dc7603af1ba156f70bd7de5880c
13,NOT_APPLICABLE,268,true,true,32675,5,206.483175163980,10893.130655324258,16664.087524264472,G1_CMAX,FIXED_VNS,O1_O9,true,true,true,true,NO,60,2,69,5,33462,167871,6,25,d821e5af4b8b006b01c1410bdba006748a75e244faf69a3fcc78cc5395ebedcc
14,GLOBAL_SLOT_G1_CMAX,480,true,true,37664,6,203.084702153569,10745.958196657692,17826.428275817430,G1_CMAX,CFVF,CFVF,true,false,false,true,NOT_SELECTED,2200,4,0,0,40349,60964,7,10,a0bc236cd7de09cc70d12e422d3c3c5a5b9628eb1bd5e644b2ee1f009d87b562
15,NOT_APPLICABLE,480,true,true,38690,6,196.706563930624,10732.599950209742,17172.383659695420,G1_CMAX,FIXED_VNS,O1_O9,true,false,false,false,NOT_SELECTED,0,0,0,0,,,,,203521e41c7db697ae3d964b8df2f98d216a3a3f3cb1adcc061487be7d5d2cc2
16,NOT_APPLICABLE,480,true,true,38698,6,196.148884036525,10787.074102886027,17316.755618396666,G1_CMAX,FIXED_VNS,O1_O9,true,false,false,false,NOT_SELECTED,0,0,0,0,,,,,3e3c2f367b49b099a3b2f54fd584ce4958d69221a7d6ce8561e0da4e55b19bc0
17,NOT_APPLICABLE,480,true,true,38699,6,196.014196385335,10769.144761763837,17098.111577529300,G1_CMAX,FIXED_VNS,O1_O9,true,false,false,false,NOT_SELECTED,0,0,0,0,,,,,a1f82be3901f9d7f9ebc3aa00efe17d5b97a99c30411687b7462752852379c7f
18,NOT_APPLICABLE,480,true,true,38704,6,195.986869009343,10769.227389985952,16937.910875931248,G1_CMAX,FIXED_VNS,O1_O9,true,true,true,true,NO,20,1,526,4,40149,110587,7,17,f2e42c8483c4ee6976a5671e73abfd1620e7eb6c7121a6caa1855b0d103e51e0
19,NOT_APPLICABLE,538,true,true,45486,7,195.437528036662,10942.931857183565,16725.980490130370,G1_CMAX,FIXED_VNS,O1_O9,true,false,false,false,NOT_SELECTED,0,0,0,0,,,,,f069c1cb25fd3e46212b7fb6df5bf21febd01a97c08c4ddc3ed458b338ae375f
20,NOT_APPLICABLE,538,true,true,45487,7,193.710708238319,10911.502178938790,16411.191645131585,G1_CMAX,FIXED_VNS,O1_O9,true,false,false,false,NOT_SELECTED,0,0,0,0,,,,,25d0a8419f28e24021e1a585adb20a8c001f1ac20680619f9741a3e934edb646
21,NOT_APPLICABLE,538,true,true,45511,7,192.944793297487,10900.159476638699,16437.145227097993,G1_CMAX,FIXED_VNS,O1_O9,true,true,true,true,NO,22780,32,14,2,46844,300814,8,43,c07b6ee3d3baa5104f2a4379f142e096893a665eadd4ad313ec76852fad743ee
22,NOT_APPLICABLE,1270,true,true,266414,38,191.936289845785,10555.136092135480,16255.594452979320,G1_CMAX,FIXED_VNS,O1_O9,true,false,false,false,NOT_SELECTED,0,0,0,0,,,,,b6e18445ac71667f2fc9f548a0acb36ede920488018b47fad3849ba3c485b815
23,NOT_APPLICABLE,1270,true,true,266415,38,189.355478539126,10486.987557093367,16338.612581873960,G1_CMAX,FIXED_VNS,O1_O9,true,false,false,false,NOT_SELECTED,0,0,0,0,,,,,9935659ccac9a134c61dd0241d3af86e124b7e8c7a28a6cbe311f8826045436b
24,NOT_APPLICABLE,1270,true,true,266424,38,186.800562029953,10486.069340767819,16177.012285116736,G1_CMAX,FIXED_VNS,O1_O9,true,false,false,false,NOT_SELECTED,0,0,0,0,,,,,28778ff334c89d6999cb24c317aa86bf23c5ab01e5ee46f5ae7c16c7532fb3e8
25,NOT_APPLICABLE,1270,true,true,266440,38,184.444550457097,10502.075204731542,16334.307627666250,G1_CMAX,FIXED_VNS,O1_O9,true,false,false,false,NOT_SELECTED,0,0,0,0,,,,,348802acfc2515b0016b513f52deab56ffa20062f41bb11d6c8ceb4f20a68981
26,NOT_APPLICABLE,1270,true,true,266466,38,183.958148066025,10505.237796069847,16233.434347834173,G1_CMAX,FIXED_VNS,O1_O9,true,false,false,false,NOT_SELECTED,0,0,0,0,,,,,40342107aeb9ab8a51abee6db2da4d8c52a93d1b83dcfa73a74704dc77a9612a
