fe,bestCmaxGlobal,bestCmaxG1,currentBestCmaxG1,bestCmaxGenerated,bestCmaxGeneratedG1,bestCmaxSurvived,windowBestGenerated,windowBestSurvived,bestTECGlobal,bestTWCGlobal,bestTECGenerated,bestTWCGenerated
1000,235.521356667309,235.521356667309,235.521356667309,222.252316121716,235.521356667309,,222.252316121716,,9183.511835527199,13791.886634689916,9183.511835527199,13791.886634689916
2000,222.252316121716,222.252316121716,226.738058146842,222.252316121716,226.738058146842,,226.659283804067,,9183.511835527199,13572.479448128817,9183.511835527199,13572.479448128817
3000,222.252316121716,222.252316121716,239.957532756137,222.252316121716,226.738058146842,,239.957532756137,,9183.511835527199,13572.479448128817,9183.511835527199,13572.479448128817
4000,222.252316121716,222.252316121716,256.744569463208,222.252316121716,224.426237399890,,224.426237399890,,8930.787923562650,13373.060154864967,8930.787923562650,13373.060154864967
5000,222.252316121716,222.252316121716,261.656891365699,222.252316121716,224.426237399890,,227.619437412164,,8902.129642393695,13180.412332806610,8902.129642393695,13162.819593056925
6000,222.252316121716,222.252316121716,269.475262734781,220.128912493229,220.128912493229,,220.128912493229,,8902.129642393695,13162.819593056925,8902.129642393695,13162.819593056925
7000,220.128912493229,220.128912493229,237.062640267707,220.128912493229,220.128912493229,220.128912493229,229.601713136738,220.128912493229,8902.129642393695,13162.819593056925,8902.129642393695,13162.819593056925
8000,220.128912493229,220.128912493229,255.567254230391,218.598851737939,218.598851737939,220.128912493229,218.598851737939,,8759.126864305530,12886.206129014308,8759.126864305530,12886.206129014308
9000,218.598851737939,218.598851737939,254.698340630753,218.598851737939,218.598851737939,220.128912493229,220.200631394315,,8759.126864305530,12886.206129014308,8759.126864305530,12886.206129014308
10000,218.598851737939,218.598851737939,267.071815959824,218.598851737939,218.598851737939,220.128912493229,240.916837951268,,8759.126864305530,12874.702203377950,8759.126864305530,12874.702203377950
11000,218.598851737939,218.598851737939,252.178615321349,218.598851737939,218.598851737939,220.128912493229,228.407882758291,,8759.126864305530,12874.702203377950,8759.126864305530,12874.702203377950
12000,211.203744947419,211.203744947419,263.655661581035,211.203744947419,211.203744947419,220.128912493229,211.203744947419,,8753.487057105407,12874.702203377950,8753.487057105407,12874.702203377950
13000,211.203744947419,211.203744947419,263.655661581035,211.203744947419,211.203744947419,220.128912493229,214.339325185129,,8753.487057105407,12874.702203377950,8753.487057105407,12874.702203377950
14000,211.203744947419,211.203744947419,248.269378838103,211.203744947419,211.203744947419,220.128912493229,231.064450339895,220.128912493229,8678.514997701202,12838.905973401943,8678.514997701202,12838.905973401943
15000,211.203744947419,211.203744947419,256.137096861527,211.203744947419,211.203744947419,220.128912493229,224.772181975312,,8678.514997701202,12745.446987317935,8678.514997701202,12745.446987317935
16000,211.203744947419,211.203744947419,245.814018437853,211.203744947419,211.203744947419,220.128912493229,245.814018437853,,8621.600676493908,12745.446987317935,8621.600676493908,12745.446987317935
17000,211.203744947419,211.203744947419,251.466191739909,211.203744947419,211.203744947419,220.128912493229,220.907195050990,,8621.600676493908,12705.840556147120,8621.600676493908,12705.840556147120
18000,211.203744947419,211.203744947419,257.665371359000,211.203744947419,211.203744947419,220.128912493229,236.423212991643,,8621.600676493908,12705.840556147120,8621.600676493908,12705.840556147120
19000,211.203744947419,211.203744947419,259.388854542420,211.203744947419,211.203744947419,220.128912493229,230.505253594198,,8621.600676493908,12705.840556147120,8621.600676493908,12705.840556147120
20000,211.203744947419,211.203744947419,259.388854542420,211.203744947419,211.203744947419,220.128912493229,218.666436569247,,8621.600676493908,12705.840556147120,8621.600676493908,12705.840556147120
21000,211.203744947419,211.203744947419,240.403363860134,211.203744947419,211.203744947419,220.128912493229,218.666436569247,220.128912493229,8621.600676493908,12705.840556147120,8621.600676493908,12705.840556147120
22000,211.203744947419,211.203744947419,241.523042288621,211.203744947419,211.203744947419,220.128912493229,239.584977552514,,8621.600676493908,12705.840556147120,8621.600676493908,12705.840556147120
23000,211.203744947419,211.203744947419,250.532037140859,211.203744947419,211.203744947419,220.128912493229,225.194416075379,,8621.600676493908,12659.402276623614,8621.600676493908,12659.402276623614
24000,211.203744947419,211.203744947419,262.145222912435,211.203744947419,211.203744947419,220.128912493229,239.858662288660,,8621.600676493908,12659.402276623614,8621.600676493908,12659.402276623614
25000,211.203744947419,211.203744947419,247.384202349630,211.203744947419,211.203744947419,220.128912493229,241.073982635447,,8599.334517944504,12659.402276623614,8599.334517944504,12659.402276623614
26000,211.203744947419,211.203744947419,262.156214416266,211.203744947419,211.203744947419,220.128912493229,224.324713294609,,8599.334517944504,12659.402276623614,8599.334517944504,12659.402276623614
27000,211.203744947419,211.203744947419,262.134984857656,211.203744947419,211.203744947419,220.128912493229,235.997063364195,220.128912493229,8599.334517944504,12659.402276623614,8599.334517944504,12659.402276623614
28000,211.203744947419,211.203744947419,257.425662404964,211.203744947419,211.203744947419,220.128912493229,236.179332217068,,8599.334517944504,12659.402276623614,8599.334517944504,12659.402276623614
29000,211.203744947419,211.203744947419,265.819758603656,211.203744947419,211.203744947419,220.128912493229,240.109656041366,,8599.334517944504,12659.402276623614,8599.334517944504,12659.402276623614
30000,211.203744947419,211.203744947419,253.780261689987,211.203744947419,211.203744947419,220.128912493229,243.226654039804,,8599.334517944504,12659.402276623614,8599.334517944504,12659.402276623614
31000,211.203744947419,211.203744947419,235.394376611510,211.203744947419,211.203744947419,220.128912493229,235.394376611510,,8599.334517944504,12659.402276623614,8599.334517944504,12659.402276623614
32000,211.203744947419,211.203744947419,261.383372070785,211.203744947419,211.203744947419,220.128912493229,241.305715314826,,8599.334517944504,12659.402276623614,8599.334517944504,12659.402276623614
33000,211.203744947419,211.203744947419,261.383372070785,211.203744947419,211.203744947419,220.128912493229,232.132465768623,,8599.334517944504,12659.402276623614,8599.334517944504,12659.402276623614
34000,211.203744947419,211.203744947419,244.184793760884,211.203744947419,211.203744947419,220.128912493229,215.591406826331,220.128912493229,8599.334517944504,12638.191348007740,8599.334517944504,12638.191348007740
35000,211.203744947419,211.203744947419,227.851630142558,211.203744947419,211.203744947419,220.128912493229,214.779639625429,,8599.334517944504,12638.191348007740,8599.334517944504,12638.191348007740
36000,211.203744947419,211.203744947419,260.910954422339,211.203744947419,211.203744947419,220.128912493229,220.650678859809,,8587.323848771495,12638.191348007740,8587.323848771495,12638.191348007740
37000,211.203744947419,211.203744947419,249.606591526584,211.203744947419,211.203744947419,220.128912493229,223.521656810458,,8587.323848771495,12638.191348007740,8587.323848771495,12638.191348007740
38000,211.203744947419,211.203744947419,265.618698402270,211.203744947419,211.203744947419,220.128912493229,218.414382513050,,8587.323848771495,12638.191348007740,8587.323848771495,12638.191348007740
39000,211.203744947419,211.203744947419,240.078323263887,211.203744947419,211.203744947419,220.128912493229,212.019287239989,,8587.323848771495,12638.191348007740,8587.323848771495,12638.191348007740
40000,211.203744947419,211.203744947419,240.078323263887,207.501595205272,207.501595205272,220.128912493229,207.501595205272,,8587.323848771495,12638.191348007740,8587.323848771495,12638.191348007740
41000,207.501595205272,207.501595205272,216.675415577575,207.501595205272,207.501595205272,207.501595205272,207.501595205272,207.501595205272,8587.323848771495,12638.191348007740,8587.323848771495,12638.191348007740
42000,207.501595205272,207.501595205272,207.501595205272,207.501595205272,207.501595205272,207.501595205272,207.501595205272,,8577.210268369867,12638.191348007740,8577.210268369867,12638.191348007740
43000,207.501595205272,207.501595205272,207.501595205272,207.501595205272,207.501595205272,207.501595205272,207.501595205272,,8577.210268369867,12638.191348007740,8577.210268369867,12638.191348007740
44000,207.501595205272,207.501595205272,216.483572517256,207.501595205272,207.501595205272,207.501595205272,207.501595205272,,8569.078249037646,12638.191348007740,8569.078249037646,12638.191348007740
45000,207.501595205272,207.501595205272,215.531801167591,207.501595205272,207.501595205272,207.501595205272,207.501595205272,,8535.263769203728,12638.191348007740,8535.263769203728,12638.191348007740
46000,207.501595205272,207.501595205272,218.670557309513,207.501595205272,207.501595205272,207.501595205272,207.501595205272,,8535.263769203728,12638.191348007740,8535.263769203728,12638.191348007740
47000,207.501595205272,207.501595205272,208.376159877534,207.501595205272,207.501595205272,207.501595205272,207.501595205272,207.501595205272,8535.263769203728,12638.191348007740,8535.263769203728,12638.191348007740
48000,207.501595205272,207.501595205272,268.560393029428,207.501595205272,207.501595205272,207.501595205272,207.501595205272,,8535.263769203728,12638.191348007740,8535.263769203728,12638.191348007740
49000,207.176754895317,207.176754895317,207.501595205272,207.176754895317,207.176754895317,207.501595205272,207.176754895317,,8535.263769203728,12638.191348007740,8535.263769203728,12638.191348007740
50000,207.176754895317,207.176754895317,207.501595205272,207.176754895317,207.176754895317,207.501595205272,207.176754895317,,8535.263769203728,12638.191348007740,8535.263769203728,12638.191348007740
51000,207.176754895317,207.176754895317,207.501595205272,207.176754895317,207.176754895317,207.501595205272,207.501595205272,,8517.364973330094,12638.191348007740,8517.364973330094,12638.191348007740
52000,207.176754895317,207.176754895317,226.565492257993,202.940168047383,202.940168047383,207.501595205272,202.940168047383,,8517.364973330094,12638.191348007740,8517.364973330094,12638.191348007740
53000,207.176754895317,207.176754895317,226.565492257993,202.940168047383,202.940168047383,207.501595205272,202.940168047383,,8517.364973330094,12638.191348007740,8517.364973330094,12638.191348007740
54000,202.940168047383,202.940168047383,218.670557309513,202.940168047383,202.940168047383,202.940168047383,207.501595205272,202.940168047383,8517.364973330094,12638.191348007740,8517.364973330094,12638.191348007740
55000,202.940168047383,202.940168047383,207.501595205272,202.940168047383,202.940168047383,202.940168047383,207.501595205272,,8517.364973330094,12638.191348007740,8517.364973330094,12638.191348007740
56000,202.940168047383,202.940168047383,207.501595205272,202.940168047383,202.940168047383,202.940168047383,207.501595205272,,8517.364973330094,12638.191348007740,8517.364973330094,12638.191348007740
57000,202.940168047383,202.940168047383,207.492358220241,202.940168047383,202.940168047383,202.940168047383,207.492358220241,,8517.364973330094,12638.191348007740,8517.364973330094,12638.191348007740
58000,202.940168047383,202.940168047383,207.492358220241,202.940168047383,202.940168047383,202.940168047383,207.492358220241,,8517.364973330094,12638.191348007740,8517.364973330094,12638.191348007740
59000,202.940168047383,202.940168047383,207.565568413547,202.940168047383,202.940168047383,202.940168047383,207.492358220241,,8517.364973330094,12638.191348007740,8517.364973330094,12638.191348007740
60000,202.940168047383,202.940168047383,207.565568413547,202.940168047383,202.940168047383,202.940168047383,207.492358220241,,8517.364973330094,12638.191348007740,8517.364973330094,12638.191348007740
61000,202.940168047383,202.940168047383,208.742903448297,202.940168047383,202.940168047383,202.940168047383,207.501595205272,,8517.364973330094,12638.191348007740,8517.364973330094,12638.191348007740
62000,202.940168047383,202.940168047383,269.559776163186,202.940168047383,202.940168047383,202.940168047383,233.893851846902,,8517.364973330094,12638.191348007740,8517.364973330094,12638.191348007740
63000,202.940168047383,202.940168047383,225.571624993747,202.940168047383,202.940168047383,202.940168047383,225.571624993747,,8495.617925749946,12638.191348007740,8495.617925749946,12638.191348007740
64000,202.940168047383,202.940168047383,240.803590394339,202.940168047383,202.940168047383,202.940168047383,208.370032821937,,8495.617925749946,12638.191348007740,8495.617925749946,12638.191348007740
65000,202.940168047383,202.940168047383,253.780261689987,202.940168047383,202.940168047383,202.940168047383,248.222175968195,,8495.617925749946,12638.191348007740,8495.617925749946,12638.191348007740
66000,202.940168047383,202.940168047383,267.577027155838,202.940168047383,202.940168047383,202.940168047383,235.293635269840,,8495.617925749946,12638.191348007740,8495.617925749946,12638.191348007740
67000,202.940168047383,202.940168047383,207.492358220241,202.940168047383,202.940168047383,202.940168047383,226.332284748505,,8495.617925749946,12638.191348007740,8495.617925749946,12638.191348007740
68000,202.940168047383,202.940168047383,271.066901702947,202.940168047383,202.940168047383,202.940168047383,229.834413998664,,8495.617925749946,12638.191348007740,8495.617925749946,12638.191348007740
69000,202.940168047383,202.940168047383,233.711419003842,202.940168047383,202.940168047383,202.940168047383,233.711419003842,,8495.617925749946,12638.191348007740,8495.617925749946,12638.191348007740
70000,202.940168047383,202.940168047383,256.214255311046,202.940168047383,202.940168047383,202.940168047383,224.221251232103,,8494.057453616722,12638.191348007740,8494.057453616722,12638.191348007740
71000,202.940168047383,202.940168047383,237.436797985467,202.940168047383,202.940168047383,202.940168047383,223.424092659204,,8494.057453616722,12638.191348007740,8494.057453616722,12638.191348007740
72000,202.940168047383,202.940168047383,224.634624899516,202.940168047383,202.940168047383,202.940168047383,217.584911503580,,8494.057453616722,12638.191348007740,8494.057453616722,12638.191348007740
73000,202.940168047383,202.940168047383,224.634624899516,202.940168047383,202.940168047383,202.940168047383,223.108158221602,,8494.057453616722,12638.191348007740,8494.057453616722,12638.191348007740
74000,202.940168047383,202.940168047383,235.797177057298,202.940168047383,202.940168047383,202.940168047383,206.735661805097,,8494.057453616722,12638.191348007740,8494.057453616722,12638.191348007740
75000,202.940168047383,202.940168047383,216.742714200723,202.940168047383,202.940168047383,202.940168047383,216.742714200723,,8494.057453616722,12638.191348007740,8494.057453616722,12638.191348007740
76000,202.940168047383,202.940168047383,235.541971016879,202.940168047383,202.940168047383,202.940168047383,223.031896896305,,8494.057453616722,12638.191348007740,8494.057453616722,12638.191348007740
77000,202.940168047383,202.940168047383,228.857920599207,202.940168047383,202.940168047383,202.940168047383,204.941808092570,,8494.057453616722,12638.191348007740,8494.057453616722,12638.191348007740
78000,202.940168047383,202.940168047383,221.302169514070,202.940168047383,202.940168047383,202.940168047383,215.773551859744,,8494.057453616722,12638.191348007740,8494.057453616722,12638.191348007740
