candidateId,parentId,lineageId,generated,admitted,evaluation,generation,cmax,tec,twc,subSwarm,mechanism,operator,enteredCandidateSet,pddrRetained,personalArchive,globalArchive,nextRoundSurvival,g1SocialTeacherParticleUses,g1SocialTeacherGenerations,g1PersonalTeacherParticleUses,g1PersonalTeacherGenerations,firstTeacherFE,lastTeacherFE,firstTeacherGeneration,lastTeacherGeneration,fingerprintSha256
1,INITIAL,-1,true,true,1,0,2039.581718329668,73608.431377739250,186886.383214294620,UNASSIGNED,INITIAL,INITIAL,true,false,false,true,NOT_SELECTED,0,0,0,0,,,,,1fa039ba47156a62509a6003ac9779190d391d662e537240654e3d95551de27f
2,INITIAL,-1,true,true,2,0,1539.425676898136,70424.188089635020,168866.372360688000,UNASSIGNED,INITIAL,INITIAL,true,false,false,true,NOT_SELECTED,0,0,0,0,,,,,d1fe1acedaa4b8877e1d22aa4b5b132227dd5899056563a04ee5efc4a497b3c7
3,INITIAL,-1,true,true,3,0,1538.181235194380,68275.259814908890,200129.560301720980,UNASSIGNED,INITIAL,INITIAL,true,false,false,true,NOT_SELECTED,0,0,0,0,,,,,b62b97d32df3515c68d4187d907c2747add663f270c8701f002cb06ec925c0a9
4,INITIAL,-1,true,true,4,0,1471.066966219271,68112.010703895760,162108.193366864520,UNASSIGNED,INITIAL,INITIAL,true,false,false,true,NOT_SELECTED,0,0,0,0,,,,,281320e0b32678dbddb4f926fbab95515fd369b38baa258889a5af9b7a492df5
5,INITIAL,-1,true,true,5,0,1335.936474862121,65348.385341818870,162364.832471898440,UNASSIGNED,INITIAL,INITIAL,true,false,false,true,NOT_SELECTED,0,0,50,1,100,5000,1,1,01453433ca8b8c8eb1026158831fa4d50f3bc9bcada8b3477e74e909aafe465e
6,INITIAL,-1,true,true,19,0,1169.428904970311,64909.295860585575,163188.937240154050,UNASSIGNED,INITIAL,INITIAL,true,false,false,true,NOT_SELECTED,0,0,50,1,100,5000,1,1,b9f2bcabab4a0451c50c690ee63b3fd9901dc59ea92a7884c90d00e5e4a4b6b8
7,INITIAL,-1,true,true,46,0,1163.989734883033,63913.746071963920,147076.997131107900,UNASSIGNED,INITIAL,INITIAL,true,true,true,true,NO,0,0,50,1,100,5000,1,1,11881be48af5983d3624b01a2a76a8baefc88e3916c84fb6cb05adabcb581ab1
8,GLOBAL_SLOT_G1_CMAX,0,true,true,101,1,1132.249249946266,66887.056885990110,160572.801323258930,G1_CMAX,CFVF,CFVF,true,false,false,true,NOT_SELECTED,15,1,0,0,200,200,1,1,2c1a946d75578b938b8701269ff293bade718417c61f4917ca25156e95d3c661
9,GLOBAL_SLOT_G4_BALANCED,19,true,true,220,1,1082.864176920780,63834.548694291560,158803.746906723330,G4_BALANCED,CFVF,CFVF,true,false,false,true,NOT_SELECTED,0,0,0,0,,,,,56d07d412eb147e9ef23b031805e19c13253793f386a762d8e2474e34fedd43b
10,GLOBAL_SLOT_G3_TWC,86,true,true,287,1,1028.450456711024,64794.774951569765,154879.691757149700,G3_TWC,CFVF,CFVF,true,false,false,true,NOT_SELECTED,30,1,0,0,300,400,1,1,26cf022f8ff21eaf6a3c5af635a43d88822b919c895ee6f41e450bbe1d440e20
11,GLOBAL_SLOT_G1_CMAX,7,true,true,408,1,983.960481967650,61982.012259526890,140382.010790182800,G1_CMAX,CFVF,CFVF,true,false,false,true,NOT_SELECTED,255,1,0,0,500,2200,1,1,f479e7391ba444ef645b4463f69801825e6674b2148496a73be1b58880196414
12,GLOBAL_SLOT_G2_TEC,70,true,true,1171,1,937.070297384030,63591.505636357980,123808.904721983750,G2_TEC,CFVF,CFVF,true,false,false,true,NOT_SELECTED,120,1,0,0,3000,4000,1,1,9c95a6bfee2522cab8527169c7e4df8e5a768b93731aefde995707f8a7ce1e49
13,GLOBAL_SLOT_G2_TEC,70,true,true,3271,1,931.440514420732,60499.334078834840,129163.792226212330,G2_TEC,CFVF,CFVF,true,false,false,true,NOT_SELECTED,330,2,0,0,4100,8367,1,2,7c07cee325ce665d758a5eabb938b8430c47f31d07baa796c3609a79408abcea
14,NOT_APPLICABLE,0,true,true,5325,1,928.461230214114,60919.328399218110,127701.472636616990,G1_CMAX,FIXED_VNS,O1_O9,true,false,false,false,NOT_SELECTED,0,0,0,0,,,,,ebaeb806cede99200d3006e6774725eef0e23288d82d92066814e41386624cca
15,NOT_APPLICABLE,0,true,true,5332,1,899.600502696351,60828.206263898810,127501.261017079160,G1_CMAX,FIXED_VNS,O1_O9,true,false,false,false,NOT_SELECTED,0,0,0,0,,,,,99d886863c230a1c1e8bc21b2422ec2817fe55762dbb75db6a33b77bd284d3c0
16,NOT_APPLICABLE,0,true,true,5334,1,898.454809609828,60802.338571977190,127236.525101105280,G1_CMAX,FIXED_VNS,O1_O9,true,false,false,false,NOT_SELECTED,0,0,0,0,,,,,3c04d3ef0f9728de2e2005e861685174e5b17b3aef61c20301d4984d7ace2867
17,NOT_APPLICABLE,0,true,true,5379,1,898.257087677146,60743.551571701260,127534.453709864930,G1_CMAX,FIXED_VNS,O1_O9,true,false,false,false,NOT_SELECTED,0,0,0,0,,,,,eb8105e9885ba626b780891c380188ef2b82afc28422f6ff180e92cbb2f78e52
18,NOT_APPLICABLE,0,true,true,5406,1,897.420112133909,60835.455721593800,127411.240567070240,G1_CMAX,FIXED_VNS,O1_O9,true,false,false,false,NOT_SELECTED,0,0,0,0,,,,,711d7c47445e5d552f90b1715b3432ae89b31e7184773c4d4a4c29c87622553a
19,NOT_APPLICABLE,0,true,true,5422,1,896.803072474451,60704.519455928110,127180.789746209050,G1_CMAX,FIXED_VNS,O1_O9,true,false,false,false,NOT_SELECTED,0,0,0,0,,,,,e1f45ca9dd5712f8aafff380df211e7c1939416ab1eb9b3164e3188e0c729481
