tag,instance,arm,seed,budget,fullEvaluations,frontSize,HV,IGD,SP,minCmax,minTEC,minTWC,outerCycles,localFraction,localFE,qgTdUpdates,qpTransitions,caTaLiteTest,caTaLiteApply,cfvfOffspring,fm3Previews,proxyPreviews,runNanos,runSeconds
fc1-audit,20_2_3_1,audit,-,50000,50000,96,1.032651,0.0,206.218008,200.72,8782.72,12918.33,2,0.78926,39463,296,2600,302,135,10000,376,0,4685060700,4.6850607
fc1-audit,100_2_3_1,audit,-,50000,50000,58,0.845837,0.0,976.478784,753.91,52080.27,107300.52,2,0.7908,39540,296,2600,201,159,10000,396,0,10412132700,10.4121327
fc2-50k-local,20_2_3_1,legacy,20260822,50000,50000,96,0.719528,0.131262,206.218008,200.72,8782.72,12918.33,2,0.78926,39463,296,2600,302,135,10000,,,4366773300,4.3667733
fc2-50k-local,20_2_3_1,legacy,20260823,50000,50000,142,0.788637,0.088728,148.973418,195.46,8722.61,12805.72,2,0.78916,39458,296,2600,308,134,10000,,,5345068100,5.3450681
fc2-50k-local,20_2_3_1,legacy,20260824,50000,50000,146,0.845416,0.073676,119.133693,196.4,8553.9,12583.15,2,0.78832,39416,296,2600,363,121,10000,,,5099995800,5.0999958
fc2-50k-local,20_2_3_1,pacing,20260822,50000,48269,224,0.865269,0.053634,131.453746,190.01,8602.65,12766.23,6,0.35142638132134496,16963,696,12600,768,438,30000,,,17075158000,17.075158
fc2-50k-local,20_2_3_1,pacing,20260823,50000,48269,211,0.888767,0.0484,76.970372,195.05,8662.03,12695.11,6,0.3442996540222503,16619,696,12600,1216,334,30000,,,20617141800,20.6171418
fc2-50k-local,20_2_3_1,pacing,20260824,50000,48269,205,0.91276,0.043496,107.587517,180.86,8476.07,12548.63,6,0.3475936936750295,16778,696,12600,1010,381,30000,,,18385533000,18.385533
fc2-50k-local,10_2_3_1,legacy,20260822,50000,50000,55,0.779034,0.109006,42.766203,50.28,2775.5,3395.11,2,0.78764,39382,296,2600,409,109,10000,334,595,2558622700,2.5586227
fc2-50k-local,10_2_3_1,legacy,20260823,50000,50000,83,0.823075,0.089574,33.940729,51.15,2762.97,3382.92,2,0.78684,39342,296,2600,460,98,10000,325,596,2979611900,2.9796119
fc2-50k-local,10_2_3_1,legacy,20260824,50000,50000,82,0.861361,0.142678,13.851087,50.79,2779.24,3331.65,2,0.78664,39332,296,2600,474,94,10000,345,588,3117988000,3.117988
fc2-50k-local,10_2_3_1,pacing,20260822,50000,48269,73,0.932597,0.067771,20.257721,51.38,2765.33,3313.22,6,0.3411713522136361,16468,696,12600,1422,279,30000,980,1762,6307006100,6.3070061
fc2-50k-local,10_2_3_1,pacing,20260823,50000,48269,101,0.914893,0.029974,7.471497,51.8,2734.61,3367.01,6,0.3436988543371522,16590,696,12600,1255,324,30000,1040,1793,6977642600,6.9776426
fc2-50k-local,10_2_3_1,pacing,20260824,50000,48269,77,0.898603,0.060979,12.364943,47.62,2766.17,3346.47,6,0.3436159854150697,16586,696,12600,1264,319,30000,1052,1772,8073747700,8.0737477
fc2-50k-local,50_2_3_1,legacy,20260822,50000,47515,120,0.806999,0.124575,218.788013,335.18,21036.03,34307.4,2,0.7771019677996422,36924,296,2600,373,118,10000,337,600,6665130400,6.6651304
fc2-50k-local,50_2_3_1,legacy,20260823,50000,46355,138,0.840873,0.115147,157.476322,341.64,21203.4,33928.44,2,0.7710495092223061,35742,296,2600,401,112,10000,340,600,8914421100,8.9144211
fc2-50k-local,50_2_3_1,legacy,20260824,50000,45017,153,0.874535,0.115497,147.724777,332.79,20834.14,34191.65,2,0.7638669835839794,34387,296,2600,426,104,10000,327,600,8451325100,8.4513251
fc2-50k-local,50_2_3_1,pacing,20260822,50000,48269,187,0.850091,0.106895,178.832128,326.64,21290.4,33771.4,6,0.3442167851001678,16615,696,12600,1223,331,30000,994,1800,31904481700,31.9044817
fc2-50k-local,50_2_3_1,pacing,20260823,50000,48269,179,0.950545,0.078446,73.076989,333.57,21209.88,33483.93,6,0.3459363152333796,16698,696,12600,1116,355,30000,1052,1800,32544204800,32.5442048
