fe,bestCmaxGlobal,bestCmaxG1,currentBestCmaxG1,bestCmaxGenerated,bestCmaxGeneratedG1,bestCmaxSurvived,windowBestGenerated,windowBestSurvived,bestTECGlobal,bestTWCGlobal,bestTECGenerated,bestTWCGenerated
1000,230.549251486264,230.549251486264,236.838600028255,230.549251486264,230.549251486264,,230.549251486264,,10566.263475281074,14286.872733942717,10566.263475281074,14286.872733942717
2000,213.366406974508,213.366406974508,216.400853962337,213.366406974508,213.366406974508,,213.366406974508,,10542.130105187403,14070.668137815193,10448.249328970312,14070.668137815193
3000,202.406251617480,202.406251617480,213.641039384328,202.406251617480,202.406251617480,,202.406251617480,,10409.617116105240,13766.662945857135,10366.784023948487,13766.662945857135
4000,198.676670807911,198.676670807911,202.403485582912,198.676670807911,198.676670807911,,198.676670807911,,10351.655855476107,13554.922522537076,10351.655855476107,13449.500571634808
5000,188.560472928958,188.560472928958,193.358426918224,188.560472928958,188.560472928958,,188.560472928958,,10098.150164849652,13182.804378693316,10098.150164849652,13182.804378693316
6000,188.560472928958,188.560472928958,206.780173951897,188.560472928958,188.560472928958,,194.098251207632,,10098.150164849652,13182.804378693316,10098.150164849652,13182.804378693316
7000,188.560472928958,188.560472928958,206.780173951897,188.560472928958,188.560472928958,,197.199810929010,,10098.150164849652,13182.804378693316,10098.150164849652,13182.804378693316
8000,188.560472928958,188.560472928958,206.780173951897,188.560472928958,188.560472928958,,197.556505718418,,10098.150164849652,13182.804378693316,10098.150164849652,13182.804378693316
9000,188.560472928958,188.560472928958,206.780173951897,184.179446684026,184.179446684026,,184.179446684026,,10098.150164849652,13182.804378693316,10098.150164849652,13182.804378693316
10000,188.560472928958,188.560472928958,206.780173951897,184.179446684026,184.179446684026,,218.741128704104,,10098.150164849652,13182.804378693316,9892.811744330790,13182.804378693316
11000,188.560472928958,188.560472928958,206.780173951897,184.179446684026,184.179446684026,,268.625526901637,,10098.150164849652,13182.804378693316,9481.456711782821,13182.804378693316
12000,188.560472928958,188.560472928958,206.780173951897,184.179446684026,184.179446684026,,240.013810600687,,10098.150164849652,13182.804378693316,9481.456711782821,13182.804378693316
13000,188.560472928958,188.560472928958,206.780173951897,184.179446684026,184.179446684026,,234.632680586624,,10098.150164849652,13182.804378693316,9367.900149005680,13182.804378693316
14000,188.560472928958,188.560472928958,206.780173951897,184.179446684026,184.179446684026,,216.304678673189,,10098.150164849652,13182.804378693316,9363.514338439185,13182.804378693316
15000,188.560472928958,188.560472928958,206.780173951897,184.179446684026,184.179446684026,,275.803938851501,,10098.150164849652,13182.804378693316,9363.514338439185,13182.804378693316
16000,188.560472928958,188.560472928958,206.780173951897,184.179446684026,184.179446684026,,234.402996084984,,10098.150164849652,13182.804378693316,9363.514338439185,13182.804378693316
17000,188.560472928958,188.560472928958,206.780173951897,184.179446684026,184.179446684026,,219.650139096886,,10098.150164849652,13182.804378693316,9363.514338439185,13182.804378693316
18000,188.560472928958,188.560472928958,206.780173951897,184.179446684026,184.179446684026,,244.929123502572,,10098.150164849652,13182.804378693316,9306.053614887649,13182.804378693316
19000,188.560472928958,188.560472928958,206.780173951897,184.179446684026,184.179446684026,,263.161137756809,,10098.150164849652,13182.804378693316,9306.053614887649,13182.804378693316
20000,188.560472928958,188.560472928958,206.780173951897,184.179446684026,184.179446684026,,245.561990411795,,10098.150164849652,13182.804378693316,9112.061682602474,13182.804378693316
