arm,check,result,verdict
A4-Pacing,formalOuterCycles>0,true,PASS
A4-Pacing,formalQgRounds>0,true,PASS
A4-Pacing,qgSelections>0,true,PASS
A4-Pacing,pddrEvents>0,true,PASS
A4-Pacing,cfvfOffspring>0,true,PASS
A4-Pacing,qpActions>0,true,PASS
A4-Pacing,dualQWarmup>0,true,PASS
A4-Pacing,dualQP>0,true,PASS
A4-Pacing,dualQG>0,true,PASS
A4-Pacing,caTaLiteTestOrApply>0,true,PASS
A4-Pacing,cfvfRepairs=0,true,PASS
A4-Pacing,directionalPoolRequests=0,true,PASS
A4-Pacing,shadowEvaluations=0,true,PASS
A4-Pacing,illegalSolutions=0,true,PASS
A4-Pacing,duplicateEvaluations=0,true,PASS
A4-Pacing,shiftActivity=0,true,PASS
A0(HMOPSO-QGS-F),formalOuterCycles>0,true,PASS
A0(HMOPSO-QGS-F),formalQgRounds>0,true,PASS
A0(HMOPSO-QGS-F),qgSelections>0,true,PASS
A0(HMOPSO-QGS-F),pddrEvents>0,true,PASS
A0(HMOPSO-QGS-F),baselineUpdateEvents>0,true,PASS
A0(HMOPSO-QGS-F),qpActions=0,true,PASS
A0(HMOPSO-QGS-F),dualQWarmup=0,true,PASS
A0(HMOPSO-QGS-F),dualQP=0,true,PASS
A0(HMOPSO-QGS-F),dualQG=0,true,PASS
A0(HMOPSO-QGS-F),cfvfOffspring=0,true,PASS
A0(HMOPSO-QGS-F),caTaLiteTest=0,true,PASS
A0(HMOPSO-QGS-F),caTaLiteApply=0,true,PASS
A0(HMOPSO-QGS-F),directionalPoolRequests=0,true,PASS
A0(HMOPSO-QGS-F),illegalSolutions=0,true,PASS
A0(HMOPSO-QGS-F),duplicateEvaluations=0,true,PASS
A0(HMOPSO-QGS-F),shiftActivity=0,true,PASS
SPEA2-F,tournament>0,true,PASS
SPEA2-F,crossover>0,true,PASS
SPEA2-F,mutation>0,true,PASS
SPEA2-F,officialMachineryInIdentity,true,PASS
SPEA2-F,forbiddenMechanismEvents=0,true,PASS
SPEA2-F,illegalSolutions=0,true,PASS
SPEA2-F,duplicateEvaluations=0,true,PASS
NSGA-II-F,tournament>0,true,PASS
NSGA-II-F,crossover>0,true,PASS
NSGA-II-F,mutation>0,true,PASS
NSGA-II-F,officialMachineryInIdentity,true,PASS
NSGA-II-F,forbiddenMechanismEvents=0,true,PASS
NSGA-II-F,illegalSolutions=0,true,PASS
NSGA-II-F,duplicateEvaluations=0,true,PASS
