runId,algorithm,instance,seed,population,maxFEs,actualFE,decoderCalls,fullEvaluations,remainingFE,terminationKind,utilizationRate,illegalSolutions,duplicateEvaluations,forbiddenMechanismEvents,frontSize,status,attempt,initialPopulationHashV35,initialPopulationHashP8
GAP500-A4-50_2_3_1-20260827,A4-Pacing,50_2_3_1,20260827,100,500000,500000,500000,500000,0,EXACT_MAX_FE,1.00000,0,0,0,,COMPLETED,1,a73e922fc8c76c77391c4b98a63b8ac3cf3161e117e52afee1dc1f927756f167,219db4152edcd11f2bc0a88402019ee328e88ccc06c6215f2d662678407b1e51
GAP500-A0-50_2_3_1-20260827,A0(HMOPSO-QGS-F),50_2_3_1,20260827,100,500000,497733,497733,497733,2267,PHASE_CONSISTENT_TAIL_STOP,0.99547,0,0,0,,COMPLETED,1,a73e922fc8c76c77391c4b98a63b8ac3cf3161e117e52afee1dc1f927756f167,219db4152edcd11f2bc0a88402019ee328e88ccc06c6215f2d662678407b1e51
GAP500-SPEA2F-50_2_3_1-20260827,SPEA2-F,50_2_3_1,20260827,100,500000,500000,500000,500000,0,BUDGET_OR_NORMAL_STOP,1.00000,0,0,0,100,COMPLETED,3,a73e922fc8c76c77391c4b98a63b8ac3cf3161e117e52afee1dc1f927756f167,219db4152edcd11f2bc0a88402019ee328e88ccc06c6215f2d662678407b1e51
GAP500-NSGA2F-50_2_3_1-20260827,NSGA-II-F,50_2_3_1,20260827,100,500000,500000,500000,500000,0,BUDGET_OR_NORMAL_STOP,1.00000,0,0,0,100,COMPLETED,3,a73e922fc8c76c77391c4b98a63b8ac3cf3161e117e52afee1dc1f927756f167,219db4152edcd11f2bc0a88402019ee328e88ccc06c6215f2d662678407b1e51
GAP500-A4-50_2_3_1-20260906,A4-Pacing,50_2_3_1,20260906,100,500000,500000,500000,500000,0,EXACT_MAX_FE,1.00000,0,0,0,,COMPLETED,1,5debfe789c328ce063140f7da69545ce1c85eaeacd835f94fe504e847aa710c6,e59c113b6a571dfb2ebf28bad0a0d93c4b1d80b818aae77d7869f2871aaaf1d5
GAP500-A0-50_2_3_1-20260906,A0(HMOPSO-QGS-F),50_2_3_1,20260906,100,500000,500000,500000,500000,0,EXACT_MAX_FE,1.00000,0,0,0,,COMPLETED,1,5debfe789c328ce063140f7da69545ce1c85eaeacd835f94fe504e847aa710c6,e59c113b6a571dfb2ebf28bad0a0d93c4b1d80b818aae77d7869f2871aaaf1d5
GAP500-SPEA2F-50_2_3_1-20260906,SPEA2-F,50_2_3_1,20260906,100,500000,500000,500000,500000,0,BUDGET_OR_NORMAL_STOP,1.00000,0,0,0,100,COMPLETED,3,5debfe789c328ce063140f7da69545ce1c85eaeacd835f94fe504e847aa710c6,e59c113b6a571dfb2ebf28bad0a0d93c4b1d80b818aae77d7869f2871aaaf1d5
GAP500-NSGA2F-50_2_3_1-20260906,NSGA-II-F,50_2_3_1,20260906,100,500000,500000,500000,500000,0,BUDGET_OR_NORMAL_STOP,1.00000,0,0,0,100,COMPLETED,3,5debfe789c328ce063140f7da69545ce1c85eaeacd835f94fe504e847aa710c6,e59c113b6a571dfb2ebf28bad0a0d93c4b1d80b818aae77d7869f2871aaaf1d5
GAP500-A4-100_5_3_1-20260827,A4-Pacing,100_5_3_1,20260827,100,500000,500000,500000,500000,0,EXACT_MAX_FE,1.00000,0,0,0,,COMPLETED,1,538deac93a6ef0d04242333cfc2785752d123a77f0fdc7d539e18e04fcb31a58,ac532e1ea30d8ebaa0921b8ae3f9cb518709d55ca7789b94b7e04a7d47648ffe
GAP500-A0-100_5_3_1-20260827,A0(HMOPSO-QGS-F),100_5_3_1,20260827,100,500000,500000,500000,500000,0,EXACT_MAX_FE,1.00000,0,0,0,,COMPLETED,1,538deac93a6ef0d04242333cfc2785752d123a77f0fdc7d539e18e04fcb31a58,ac532e1ea30d8ebaa0921b8ae3f9cb518709d55ca7789b94b7e04a7d47648ffe
GAP500-SPEA2F-100_5_3_1-20260827,SPEA2-F,100_5_3_1,20260827,100,500000,500000,500000,500000,0,BUDGET_OR_NORMAL_STOP,1.00000,0,0,0,100,COMPLETED,4,538deac93a6ef0d04242333cfc2785752d123a77f0fdc7d539e18e04fcb31a58,ac532e1ea30d8ebaa0921b8ae3f9cb518709d55ca7789b94b7e04a7d47648ffe
GAP500-NSGA2F-100_5_3_1-20260827,NSGA-II-F,100_5_3_1,20260827,100,500000,500000,500000,500000,0,BUDGET_OR_NORMAL_STOP,1.00000,0,0,0,100,COMPLETED,4,538deac93a6ef0d04242333cfc2785752d123a77f0fdc7d539e18e04fcb31a58,ac532e1ea30d8ebaa0921b8ae3f9cb518709d55ca7789b94b7e04a7d47648ffe
GAP500-A4-100_5_3_1-20260906,A4-Pacing,100_5_3_1,20260906,100,500000,500000,500000,500000,0,EXACT_MAX_FE,1.00000,0,0,0,,COMPLETED,1,62a8a3baf8fadf5af3a97a52957aed64f632c9816fe82a1a923e87d9b0dc2189,f0287cb5dfded823b2143d646e51c5a6ea81384f97efa7eb0ec0a3f7943de85f
GAP500-A0-100_5_3_1-20260906,A0(HMOPSO-QGS-F),100_5_3_1,20260906,100,500000,500000,500000,500000,0,EXACT_MAX_FE,1.00000,0,0,0,,COMPLETED,1,62a8a3baf8fadf5af3a97a52957aed64f632c9816fe82a1a923e87d9b0dc2189,f0287cb5dfded823b2143d646e51c5a6ea81384f97efa7eb0ec0a3f7943de85f
GAP500-SPEA2F-100_5_3_1-20260906,SPEA2-F,100_5_3_1,20260906,100,500000,500000,500000,500000,0,BUDGET_OR_NORMAL_STOP,1.00000,0,0,0,100,COMPLETED,4,62a8a3baf8fadf5af3a97a52957aed64f632c9816fe82a1a923e87d9b0dc2189,f0287cb5dfded823b2143d646e51c5a6ea81384f97efa7eb0ec0a3f7943de85f
GAP500-NSGA2F-100_5_3_1-20260906,NSGA-II-F,100_5_3_1,20260906,100,500000,500000,500000,500000,0,BUDGET_OR_NORMAL_STOP,1.00000,0,0,0,100,COMPLETED,4,62a8a3baf8fadf5af3a97a52957aed64f632c9816fe82a1a923e87d9b0dc2189,f0287cb5dfded823b2143d646e51c5a6ea81384f97efa7eb0ec0a3f7943de85f
