Cmax,TEC,TWC
761.79488252092600,121728.59054307839,324271.19886673335
762.66400531616220,123188.47389048027,306176.00276591966
763.74788786461870,122210.19108204613,317252.49020435323
768.11826884556820,121132.36822599603,318858.70222496110
770.11419081926940,122120.60590776041,310727.89192890250
773.36837773774740,123587.33999300847,305112.38424646435
773.36837773774740,123701.49275802099,302839.51713291055
774.85480365948510,121087.58884485785,314564.38876070094
777.05839350946260,122791.73027652592,307745.08162002167
777.16927479138140,119978.24819788191,331580.67846581190
779.22643294666560,122957.23478781075,301179.16131015524
780.93314392494690,122387.15760276551,304973.08610810560
783.66440009676920,120145.59337099234,321646.58558462793
783.82441471987930,122870.85909384082,298934.00615654650
784.04652767938900,121996.68813696670,312802.91068686520
784.68423785539220,120313.97504683625,316001.54761447426
785.51495554361080,122755.14763131161,303781.45127044315
792.56430241022900,120624.13344809983,311701.91435636820
792.94771209556820,120013.65720352929,317782.16315278626
797.44619085424620,119625.35693422172,319347.94641858665
798.41905752824740,121622.78562542638,306029.97376148440
800.68778766900890,121472.61180676299,309002.02134977345
804.46328633506310,119731.23360571815,314510.61928862776
805.67185714002890,119600.72454580804,326615.65460857423
809.22166680645590,120578.03896289098,310284.66885162370
809.48409135749270,119516.13231231383,329075.88699244370
809.98386841621110,122360.19682845133,296954.70306606026
810.02749919341770,122232.08181793074,295622.80014754870
811.17997729255420,119280.91282110129,312813.24129874210
812.99764085904390,121842.99728698630,298171.68726933206
819.67780199289810,121596.59421475892,303684.33472064210
824.01196703281280,121606.46548487761,299553.32544726960
824.13348812314620,120994.32256311754,307340.04524209010
833.12778469631730,119694.64801242916,311206.12114408970
835.59979277537420,119521.08451891676,308554.52708174810
836.14740014674750,119140.21981818194,305859.76286438014
843.66719659979730,120394.39583313814,301861.94675845330
844.68991498647670,119908.03207723066,304477.57745994980
844.83839263747320,120023.25336662968,303021.25501368570
847.79975719855350,119439.77816367897,300913.44753590480
850.71326431630420,118612.13975588538,303795.30241349330
855.24366879753360,120445.00363911303,300099.61857823294
856.65946069493210,118454.33648296578,299604.87343114020
857.42535266213010,117776.74869679664,314639.39879058000
869.64903000945300,119799.11533366345,297938.01036458137
872.34157157388520,117309.59562937407,311087.88622636645
872.40626853988200,117039.64920814146,324581.75902283716
874.42510269537650,118353.90136076146,301940.19772641470
877.29288875577520,117882.59563735621,296777.37147990224
881.94561457604570,120791.93029579674,294087.39662400280
881.94561457604570,121275.62689281080,292219.29863993080
887.62352034655650,117281.04775710605,312707.03808576264
893.02964013546000,120417.43513976972,290394.35443878120
894.26781425575620,117605.42143384772,306704.53697108080
894.26781425575620,117632.25053131749,305248.37790659274
894.61781025965960,120022.44126252062,291544.93524253997
896.74380082774580,116836.45461576356,327288.28678126493
896.74380082774580,117003.15635270553,325856.74510943020
897.53087617970830,116756.22387395526,331330.17466574535
901.48324683940280,117155.15537551328,309320.58936930920
905.45345970143490,117301.35644561083,299823.37941688305
908.43924010460070,117153.01623421308,303448.60089634353
909.86961039635400,116977.58672986494,322327.37740266434
910.32326165010510,119792.83937221640,294815.47335899516
919.28411545591020,119343.46544043110,295986.13685148355
920.28447053822150,116981.72032022402,301973.26505217080
922.52820483443460,116550.62527255405,307691.26170915540
934.41147108140790,116351.54602738600,329065.81279810634
936.55348918664550,116505.87623666931,315573.27314785344
940.72024667218800,116114.43090945373,295928.48813210810
942.72872544989320,119288.03106939125,293074.97636569380
948.14051476840190,115979.56867389029,313323.64425856876
948.40905627294680,118221.21581812619,294570.74445672083
956.99158619411990,118549.04849834126,291211.05195353970
961.79279232898060,116490.37734749886,294632.79340733530
961.79279232898060,117082.52647963713,293090.66566062540
966.61361229601080,119047.60370402703,289904.91125473625
974.05643591656100,115986.70887321784,311621.70089011070
981.29710708850190,115421.08975369063,319122.94378315330
982.18014117913790,115593.69342226113,310232.55850891280
983.31679871214080,115294.99192416060,308911.35082635743
987.36020265609140,115856.02365487893,304227.57336719480
988.42119973487020,117320.18729868907,291473.24016749730
991.09014364601140,117603.27209693720,289875.74689119763
991.43550566835190,115307.76261744928,305876.52825626207
995.02808513096500,114924.02251981208,315776.72083244090
996.10370599206120,114900.47565271250,307368.15044585860
1002.4523129998523,114648.50395031838,325964.81922590686
1021.6376075163240,115026.20318252344,302334.62773279410
1034.1093706627892,113913.29006445393,301850.89484590420
1035.8957173523856,114677.06823892979,298776.43855407920
1042.6958772433245,114300.06203278367,297166.41045608940
1044.3137103560582,113901.25112320209,303486.42780984380
1065.7539321784168,113727.76394216320,310872.24195079494
1071.5159415833757,113527.76443140398,309118.19449880824
1071.5159415833757,113683.60472605508,307705.95216427920
1081.1368198929865,113714.62892242736,305953.52007947350
1083.5839395313270,114461.34812746744,295051.15901167960
1113.2072926887845,114256.22474750082,300597.87478085223
1128.5805201943444,113431.63858257086,312642.15528697334
