instance,seed,arm,frontSize,hv,igd,minCmax,minTEC,minTWC
50_2_3_1,20260827,A4-Pacing,645,0.8391007853806821,0.05358226745597494,323.0017587749171,20608.421308681893,32161.89263921024
50_2_3_1,20260906,A4-Pacing,475,0.821508036804503,0.05867120941965234,319.8485665643233,20721.258811174688,32283.838649871
50_2_3_1,20260827,A0(HMOPSO-QGS-F),523,0.5146413717697568,0.3374925949824532,340.05321224258915,20594.481686606017,35035.62619301691
50_2_3_1,20260906,A0(HMOPSO-QGS-F),574,0.5957902728121198,0.29747611566001136,348.3817039788822,20475.643258393684,34841.413003653724
50_2_3_1,20260827,SPEA2-F,100,0.8439426335950297,0.09871945877894586,321.6650655489166,20415.82527821695,34448.80981933968
50_2_3_1,20260906,SPEA2-F,100,0.8874507672093295,0.0853005883460919,320.7086894315105,20426.78217198919,33680.96776320516
50_2_3_1,20260827,NSGA-II-F,100,0.6905518389795364,0.21475029401374618,325.22526645773513,20186.76316995759,34311.997010929095
50_2_3_1,20260906,NSGA-II-F,100,0.7438149735604345,0.14701060617158668,315.7855733349381,20193.09449330728,34062.944776590004
100_5_3_1,20260827,A4-Pacing,373,0.30187998746308287,0.40125031402019995,767.5191016741888,112512.490222872,296100.7683842934
100_5_3_1,20260906,A4-Pacing,347,0.20657212658893703,0.4850962777069712,768.1226323240428,112951.66450295332,295060.6915269332
100_5_3_1,20260827,A0(HMOPSO-QGS-F),219,0.1307467105572137,0.553935873235424,769.3457318583754,113073.74858393718,311500.98701030837
100_5_3_1,20260906,A0(HMOPSO-QGS-F),242,0.3693353970721726,0.31371865844198804,758.3252089850549,115914.9861180371,301348.9595940129
100_5_3_1,20260827,SPEA2-F,100,0.697103801321638,0.1144246314530435,761.794882520926,113431.63858257086,289875.74689119763
100_5_3_1,20260906,SPEA2-F,100,0.697141502897076,0.130876293119335,758.0975012343874,112719.82235536895,287639.80665639526
100_5_3_1,20260827,NSGA-II-F,100,0.8583135865090182,0.08254382505168396,750.8305523051874,110081.40243063007,283789.98966307915
100_5_3_1,20260906,NSGA-II-F,100,0.7052390717907453,0.14417862625741837,753.5808542732668,112423.63054657594,290914.4937127669
