Cmax;TEC;TWC
214.238519;10834.567193;19470.821304
221.622771;11428.252194;18527.861811
222.302048;10490.482160;17757.222562
224.816334;10989.194722;17538.605296
227.829259;10263.763335;17603.558205
230.019564;10045.248224;19555.737995
231.555259;10673.363377;15386.150134
234.090857;10242.879194;19452.960783
239.376824;9915.709018;19388.482464
240.835657;10016.438456;19222.934454
241.734062;9663.076924;18652.507247
243.323371;10651.956093;16154.446783
244.718603;10312.572977;16746.910504
248.017011;10400.090696;16684.288151
248.592968;10128.025596;17408.042247
252.469737;10071.042710;18617.987035
253.934906;10259.168124;16134.312245
254.318986;10562.912462;16072.302985
255.745431;10040.749334;18238.471956
256.344619;9579.344538;20658.122553
256.448954;10115.801966;17966.966006
257.713793;10060.033800;17182.879839
258.123986;9550.894805;20729.655072
259.500398;9511.812831;20898.891987
259.871390;9538.181450;20803.325879
259.883914;9951.330319;18477.053475
260.129028;9945.226723;17087.222535
260.134601;10242.295472;16451.943066
262.260850;9352.681972;19050.449675
262.582048;9598.385952;18902.493306
266.880876;10264.492639;16074.781112
269.273996;9773.031608;18301.958046
269.308282;9635.522477;18514.913733
269.325513;9622.232212;18675.252887
270.159695;10599.674756;15401.830277
272.092834;9503.618226;18918.122010
272.161980;9854.629834;15594.528144
272.343096;9346.756495;20110.634664
273.116959;9419.966863;17358.257271
273.672883;9373.366619;18688.042146
275.243333;9353.114103;18852.420020
278.456727;9187.277691;20083.913706
278.972486;9337.491177;17989.208373
279.586860;10291.103980;15045.744668
279.625141;9436.292681;15842.088536
279.988444;9214.686049;18367.160271
283.233016;9300.433732;17736.655203
284.410380;9278.619187;18354.806517
286.598256;9208.681778;17949.225821
289.398226;9116.470119;20535.119242
293.301072;9258.322926;17627.520799
293.409362;10162.696670;15376.894102
294.885046;8979.507696;18996.359336
294.963576;9187.841126;18443.442031
296.893256;10608.844411;14778.543837
300.866699;9172.016276;18257.782366
301.673215;10556.192386;14703.304793
302.313287;9309.512632;16326.755150
304.451471;9020.467557;16991.449938
305.021312;10222.143625;14418.019629
305.733519;9919.781139;15588.728193
310.776957;10360.025496;13966.733030
311.756589;9581.628759;15111.206711
314.220127;9305.334457;16111.778368
314.227687;9250.486530;16397.567954
317.202836;9095.014520;16421.681083
323.425470;10173.198631;14960.799074
324.503368;10172.454279;14752.459591
324.595837;9775.807704;14918.644098
327.753826;9259.319527;14987.888990
331.550621;9216.486095;14931.360556
333.726892;9617.881398;14927.999589
334.447947;9884.355507;14479.005254
338.277069;9483.090292;14554.831516
343.534615;11009.975585;13372.076629
344.424036;9137.916547;15306.328497
344.827050;10927.049550;13910.116724
344.827431;10767.266595;13849.280819
345.932293;10706.059655;13682.148127
346.073337;8880.143284;16861.356933
348.814789;9384.995344;14573.744144
350.795599;9671.018629;13502.655576
353.761071;10533.762525;13279.871471
355.976980;10127.011543;13294.917802
359.881463;9121.134277;15491.656184
361.973218;10460.265887;13276.929296
362.157055;10570.226295;13233.411182
362.157141;10549.024403;13231.914142
362.157800;10662.674676;13203.319058
362.159973;10529.874733;13209.472541
362.160687;10529.283828;13210.747855
366.316259;10101.225821;13130.231287
369.647485;8992.941809;13143.437753
375.201999;10763.252662;13070.522517
