Cmax;TEC;TWC
783.312525;130193.996601;361818.010371
804.424701;128951.302789;351845.575386
804.855988;128480.572318;368381.231014
816.233326;128861.308643;353691.800101
825.501618;128727.066401;362529.467935
825.855929;128761.443207;358531.293429
826.892382;128950.134745;350139.556460
838.931624;128711.105403;364832.763181
839.173728;127890.528624;364894.322006
841.159683;128673.298184;359041.038364
844.423990;128497.545721;357018.610263
844.817476;127807.319979;365550.900335
846.051448;127860.405156;359487.973932
846.278256;128241.929218;359367.783254
850.868125;128684.141117;354563.465747
853.347275;128361.915276;354555.397892
854.419520;127506.623327;361419.122110
854.464401;127749.928689;360088.710307
855.303376;127624.407209;360025.369471
859.067602;128532.369080;348531.272054
859.296856;127926.716216;358569.656610
860.910355;127790.131057;354101.566197
862.336793;127132.871759;354836.692313
862.410003;127233.391325;352083.791058
862.946067;128497.040686;347862.403052
864.285284;127540.814730;350501.959635
865.719385;126861.643269;361284.100736
869.956371;126540.284248;348364.686830
877.115866;126357.221325;367185.379028
877.478370;126700.793298;348242.873355
879.272779;128012.917228;346708.289713
882.353041;126313.422879;355600.756833
883.557453;125849.412587;356053.430429
886.518051;127061.816194;347508.228275
892.246257;126111.336889;349073.811874
894.088446;126718.213337;345648.777215
897.515654;128190.937759;343605.010666
901.616428;126103.354051;352181.073375
921.453469;125802.833705;351074.504392
922.314703;125484.306818;377770.834097
923.976998;126128.454021;346421.843791
923.976998;126674.865084;345668.146668
926.716248;126609.610996;345236.393021
928.840874;127081.405751;344195.720122
932.792383;125573.741162;343934.026422
949.816627;125467.903087;361305.116992
952.830682;125419.480481;363278.572014
955.844092;125074.809911;360088.422630
967.799393;124787.854182;378652.848065
981.256983;125020.803303;358285.127976
984.712453;123704.532335;358816.643639
990.893539;124276.332100;358158.513356
995.486153;123291.556163;366162.722295
1013.859713;123642.651412;359613.482816
1036.354704;125333.038230;357382.657623
1036.370571;123196.825350;363468.715998
1038.086896;123661.949570;353855.491465
1043.901926;123622.243807;362682.303638
1051.369357;123486.192218;355452.746593
1065.739653;123362.296124;360721.934571
1065.932722;123069.554821;371842.841519
1068.590851;123309.603308;357909.905282
1070.558003;123148.723748;368548.595097
1070.764065;122931.629404;361763.378193
1071.513165;122826.110654;351674.918986
1071.921677;122624.081899;356099.832815
1074.336969;122675.013319;353306.002144
1079.012405;122073.462242;358743.693658
1081.735581;122669.934159;355929.125513
1088.789252;123809.871380;350438.375443
1090.044509;122401.977948;357273.978154
1095.789505;122423.358129;352390.364411
1096.510602;121705.015802;351615.444533
1098.323507;123000.189708;350702.295915
1101.684326;123261.533246;346289.225388
1107.043416;121664.873925;353137.091476
1115.688062;122676.928578;350583.587831
1124.159392;122179.556613;350214.686332
1130.046369;121419.665778;354862.577655
1130.316732;122343.660531;348501.141213
1133.632044;122327.396483;347510.574521
1136.323571;121470.530193;354155.681592
1138.049097;121509.337942;346228.597374
1147.036429;122686.576611;344608.747738
1147.308851;121384.931730;347655.199305
1169.904084;121290.832732;352823.143479
1182.576129;120885.285904;361584.379629
