slot,lineage,JS,FA,MA,WA,Cmax,TEC,TWC,fingerprint
0,40,"1,4,5,7,9,6,8,0,2,3","0,0,1,0,0,1,1,0,0,0","2,1,1,1,0,1,1,1,1,0","1,0,1,0,1,0,1,0,0,1",58.735561900065484,2138.9249739252245,2703.7948178866250,"[1, 4, 5, 7, 9, 6, 8, 0, 2, 3]|[0, 0, 1, 0, 0, 1, 1, 0, 0, 0]|null|[1, 0, 1, 0, 1, 0, 1, 0, 0, 1]"
1,148,"2,9,0,6,7,5,3,1,4,8","1,0,1,0,0,0,0,1,1,1","0,0,0,0,1,1,0,0,1,1","1,1,1,1,0,0,0,1,0,0",51.539667192167855,2022.7014301135500,2984.9231792661176,"[2, 9, 0, 6, 7, 5, 3, 1, 4, 8]|[1, 0, 1, 0, 0, 0, 0, 1, 1, 1]|null|[1, 1, 1, 1, 0, 0, 0, 1, 0, 0]"
2,140,"6,1,3,0,2,4,9,7,5,8","1,0,0,1,0,0,0,0,0,1","1,2,1,0,2,1,0,1,0,1","0,1,0,1,1,0,1,0,0,0",65.769119539734820,2192.7503823972130,2691.7675263306837,"[6, 1, 3, 0, 2, 4, 9, 7, 5, 8]|[1, 0, 0, 1, 0, 0, 0, 0, 0, 1]|null|[0, 1, 0, 1, 1, 0, 1, 0, 0, 0]"
3,153,"6,1,3,5,2,4,9,7,0,8","1,1,0,1,0,0,0,0,0,1","1,0,1,0,2,1,0,1,0,1","0,1,0,1,1,0,1,0,0,0",50.124184979245896,2083.6271443070320,2848.4875064141443,"[6, 1, 3, 5, 2, 4, 9, 7, 0, 8]|[1, 1, 0, 1, 0, 0, 0, 0, 0, 1]|null|[0, 1, 0, 1, 1, 0, 1, 0, 0, 0]"
4,168,"6,4,3,0,8,9,7,1,5,2","0,0,0,1,0,0,0,0,0,1","1,1,1,0,2,2,2,1,0,1","0,0,0,1,1,1,1,0,0,0",76.341697339060370,2313.5296191308908,2681.0679395550487,"[6, 4, 3, 0, 8, 9, 7, 1, 5, 2]|[0, 0, 0, 1, 0, 0, 0, 0, 0, 1]|null|[0, 0, 0, 1, 1, 1, 1, 0, 0, 0]"
5,180,"6,4,7,0,9,5,3,1,2,8","1,0,0,1,0,0,0,1,1,1","0,1,0,0,2,1,1,0,1,1","1,0,1,1,1,0,0,1,0,0",50.047060596184280,2068.4326387723620,2895.5107228747565,"[6, 4, 7, 0, 9, 5, 3, 1, 2, 8]|[1, 0, 0, 1, 0, 0, 0, 1, 1, 1]|null|[1, 0, 1, 1, 1, 0, 0, 1, 0, 0]"
6,183,"6,4,7,9,5,3,1,0,2,8","1,0,0,0,0,0,1,1,1,1","0,1,0,2,1,1,0,0,1,1","1,0,1,1,0,0,1,1,0,0",48.985466216058240,2071.8502279594422,2901.8831838286305,"[6, 4, 7, 9, 5, 3, 1, 0, 2, 8]|[1, 0, 0, 0, 0, 0, 1, 1, 1, 1]|null|[1, 0, 1, 1, 0, 0, 1, 1, 0, 0]"
7,210,"2,4,7,0,5,6,9,1,3,8","1,0,0,0,0,0,0,1,0,1","0,1,0,0,1,1,0,0,1,1","1,0,1,1,0,0,1,1,0,0",64.789087682661030,2081.8257612066172,2773.8724972297646,"[2, 4, 7, 0, 5, 6, 9, 1, 3, 8]|[1, 0, 0, 0, 0, 0, 0, 1, 0, 1]|null|[1, 0, 1, 1, 0, 0, 1, 1, 0, 0]"
8,210,"6,4,7,0,5,3,9,1,2,8","1,0,0,0,0,0,0,1,0,1","0,1,2,0,1,1,0,0,1,1","1,0,1,1,0,0,1,1,0,0",61.614459684783130,2114.2706021741024,2758.8622146678517,"[6, 4, 7, 0, 5, 3, 9, 1, 2, 8]|[1, 0, 0, 0, 0, 0, 0, 1, 0, 1]|null|[1, 0, 1, 1, 0, 0, 1, 1, 0, 0]"
9,275,"7,4,1,9,3,0,6,5,2,8","0,0,1,0,0,1,1,0,0,1","0,1,0,0,0,0,1,1,1,1","0,0,1,1,1,1,0,0,0,0",66.647014398488650,2068.7172398508170,2771.0679165104234,"[7, 4, 1, 9, 3, 0, 6, 5, 2, 8]|[0, 0, 1, 0, 0, 1, 1, 0, 0, 1]|null|[0, 0, 1, 1, 1, 1, 0, 0, 0, 0]"
10,261,"7,4,0,5,3,9,6,1,2,8","1,0,0,0,0,0,1,1,1,1","0,0,0,1,0,0,1,0,0,1","1,1,1,0,0,0,0,1,1,0",57.817413707121520,1997.2597374391862,3167.2237480885606,"[7, 4, 0, 5, 3, 9, 6, 1, 2, 8]|[1, 0, 0, 0, 0, 0, 1, 1, 1, 1]|null|[1, 1, 1, 0, 0, 0, 0, 1, 1, 0]"
11,292,"6,7,3,2,1,5,4,8,0,9","0,0,0,1,1,0,0,1,0,0","1,0,0,1,0,1,1,1,0,1","0,1,1,0,1,0,0,0,1,0",65.959920996785700,2101.1228160731316,2756.2064878192505,"[6, 7, 3, 2, 1, 5, 4, 8, 0, 9]|[0, 0, 0, 1, 1, 0, 0, 1, 0, 0]|null|[0, 1, 1, 0, 1, 0, 0, 0, 1, 0]"
12,316,"7,6,2,0,4,1,9,5,8,3","0,1,0,0,1,1,1,0,1,0","1,1,0,0,0,0,0,1,1,0","0,0,1,1,1,1,1,0,0,0",52.208038501211945,2011.9159380891078,2934.4899624414006,"[7, 6, 2, 0, 4, 1, 9, 5, 8, 3]|[0, 1, 0, 0, 1, 1, 1, 0, 1, 0]|null|[0, 0, 1, 1, 1, 1, 1, 0, 0, 0]"
13,349,"7,6,2,0,4,1,9,3,8,5","1,1,0,0,1,1,1,0,1,0","0,1,0,0,0,0,0,1,1,0","1,0,1,1,1,1,1,0,0,0",60.439470578421390,1991.6551808493018,3232.0746238496250,"[7, 6, 2, 0, 4, 1, 9, 3, 8, 5]|[1, 1, 0, 0, 1, 1, 1, 0, 1, 0]|null|[1, 0, 1, 1, 1, 1, 1, 0, 0, 0]"
14,378,"6,2,8,5,9,3,4,7,1,0","0,0,1,0,0,1,1,0,1,0","1,1,1,1,1,0,0,0,0,0","0,0,0,0,0,1,1,1,1,1",53.868250197037130,2059.0043903019340,2907.7438796715840,"[6, 2, 8, 5, 9, 3, 4, 7, 1, 0]|[0, 0, 1, 0, 0, 1, 1, 0, 1, 0]|null|[0, 0, 0, 0, 0, 1, 1, 1, 1, 1]"
15,385,"5,4,1,7,0,3,9,8,2,6","0,0,1,0,0,1,0,1,1,0","1,0,0,0,0,0,1,1,1,1","0,1,1,1,1,1,0,0,0,0",54.075364372490775,2059.7906309711790,2779.2520924677387,"[5, 4, 1, 7, 0, 3, 9, 8, 2, 6]|[0, 0, 1, 0, 0, 1, 0, 1, 1, 0]|null|[0, 1, 1, 1, 1, 1, 0, 0, 0, 0]"
16,393,"7,6,2,0,4,1,5,3,8,9","0,1,0,0,1,1,1,0,1,0","1,1,0,0,0,0,0,1,1,0","0,0,1,1,1,1,1,0,0,0",54.320531158376710,2000.5343821852025,2933.7581815491850,"[7, 6, 2, 0, 4, 1, 5, 3, 8, 9]|[0, 1, 0, 0, 1, 1, 1, 0, 1, 0]|null|[0, 0, 1, 1, 1, 1, 1, 0, 0, 0]"
17,397,"7,5,2,0,4,1,6,3,8,9","0,1,0,0,1,1,1,0,1,0","1,0,0,0,0,0,1,1,1,0","0,1,1,1,1,1,0,0,0,0",53.098556529374434,2005.9773651767596,3002.7470485849070,"[7, 5, 2, 0, 4, 1, 6, 3, 8, 9]|[0, 1, 0, 0, 1, 1, 1, 0, 1, 0]|null|[0, 1, 1, 1, 1, 1, 0, 0, 0, 0]"
18,385,"2,4,1,7,0,3,9,5,6,8","1,0,1,0,1,0,0,1,1,0","0,0,0,0,0,1,1,1,1,1","1,1,1,1,1,0,0,0,0,0",49.896311210256080,2044.0237625074606,3044.0296327202677,"[2, 4, 1, 7, 0, 3, 9, 5, 6, 8]|[1, 0, 1, 0, 1, 0, 0, 1, 1, 0]|null|[1, 1, 1, 1, 1, 0, 0, 0, 0, 0]"
19,398,"7,6,8,1,3,4,2,0,5,9","1,0,1,1,0,1,0,0,1,0","0,0,1,0,0,0,1,0,1,0","1,0,0,1,0,1,0,1,0,1",58.357024068317855,1996.8788527474208,3169.6943945300163,"[7, 6, 8, 1, 3, 4, 2, 0, 5, 9]|[1, 0, 1, 1, 0, 1, 0, 0, 1, 0]|null|[1, 0, 0, 1, 0, 1, 0, 1, 0, 1]"
20,403,"5,3,2,0,1,4,7,6,8,9","0,0,0,0,1,1,0,1,1,0","1,1,1,0,0,0,2,1,1,1","0,0,0,1,1,1,1,0,0,0",51.105752784618694,2092.8678111691074,2784.8416238490818,"[5, 3, 2, 0, 1, 4, 7, 6, 8, 9]|[0, 0, 0, 0, 1, 1, 0, 1, 1, 0]|null|[0, 0, 0, 1, 1, 1, 1, 0, 0, 0]"
21,402,"5,3,2,0,1,4,7,6,8,9","0,0,0,0,1,1,0,1,1,0","1,1,1,2,0,0,2,1,1,0","0,0,0,1,1,1,1,0,0,1",47.964656760419686,2114.8443081359580,2745.9757350441378,"[5, 3, 2, 0, 1, 4, 7, 6, 8, 9]|[0, 0, 0, 0, 1, 1, 0, 1, 1, 0]|null|[0, 0, 0, 1, 1, 1, 1, 0, 0, 1]"
22,400,"1,6,7,0,4,3,9,8,5,2","1,1,1,0,1,0,0,1,0,1","0,1,1,0,0,0,0,0,1,1","1,0,0,0,1,0,1,1,0,0",60.981261645507160,1996.8962163323768,3120.1955592431837,"[1, 6, 7, 0, 4, 3, 9, 8, 5, 2]|[1, 1, 1, 0, 1, 0, 0, 1, 0, 1]|null|[1, 0, 0, 0, 1, 0, 1, 1, 0, 0]"
23,412,"5,2,3,7,1,4,0,6,8,9","0,0,0,0,1,1,0,1,1,0","0,0,1,1,0,0,0,1,1,0","0,1,0,0,1,1,1,0,0,0",54.111022816660395,2015.7101053339030,2823.8148711451120,"[5, 2, 3, 7, 1, 4, 0, 6, 8, 9]|[0, 0, 0, 0, 1, 1, 0, 1, 1, 0]|null|[0, 1, 0, 0, 1, 1, 1, 0, 0, 0]"
24,411,"7,3,2,5,1,4,0,6,8,9","0,0,0,0,1,1,0,1,1,0","1,1,0,0,0,0,0,1,1,0","0,0,1,0,1,1,1,0,0,0",60.404802586445290,2011.5427832591700,2925.8663174005674,"[7, 3, 2, 5, 1, 4, 0, 6, 8, 9]|[0, 0, 0, 0, 1, 1, 0, 1, 1, 0]|null|[0, 0, 1, 0, 1, 1, 1, 0, 0, 0]"
25,402,"5,3,7,0,1,4,2,6,8,9","0,0,0,0,1,0,0,1,1,0","1,1,2,0,0,1,1,1,1,0","0,0,1,1,1,0,0,0,0,1",59.471708491127350,2137.0431828103950,2731.6016914737340,"[5, 3, 7, 0, 1, 4, 2, 6, 8, 9]|[0, 0, 0, 0, 1, 0, 0, 1, 1, 0]|null|[0, 0, 1, 1, 1, 0, 0, 0, 0, 1]"
26,418,"6,3,2,5,1,4,0,7,8,9","1,0,0,0,1,1,0,1,1,1","1,1,0,0,0,0,0,0,1,0","0,0,1,0,1,1,1,1,0,1",60.388139943700550,1998.2613008992687,3157.9880759581692,"[6, 3, 2, 5, 1, 4, 0, 7, 8, 9]|[1, 0, 0, 0, 1, 1, 0, 1, 1, 1]|null|[0, 0, 1, 0, 1, 1, 1, 1, 0, 1]"
