slot,lineage,JS,FA,MA,WA,Cmax,TEC,TWC,fingerprint
0,40,"1,4,5,7,9,6,8,0,2,3","0,0,1,0,0,1,1,0,0,0","2,1,1,1,0,1,1,1,1,0","1,0,1,0,1,0,1,0,0,1",58.735561900065484,2138.9249739252245,2703.7948178866250,"[1, 4, 5, 7, 9, 6, 8, 0, 2, 3]|[0, 0, 1, 0, 0, 1, 1, 0, 0, 0]|null|[1, 0, 1, 0, 1, 0, 1, 0, 0, 1]"
1,75,"1,4,6,3,8,2,7,5,9,0","1,1,1,0,1,0,0,0,0,0","1,0,0,0,1,1,1,0,2,2","0,1,1,1,0,0,0,1,1,0",51.127989399414034,2101.5544371920770,2812.4594264851110,"[1, 4, 6, 3, 8, 2, 7, 5, 9, 0]|[1, 1, 1, 0, 1, 0, 0, 0, 0, 0]|null|[0, 1, 1, 1, 0, 0, 0, 1, 1, 0]"
2,87,"3,4,1,7,2,0,5,8,6,9","0,0,1,0,1,0,0,1,1,0","1,1,1,1,0,1,0,1,0,0","0,0,0,0,1,0,1,0,1,1",49.725365543031800,2069.6232141945243,2847.6800428891230,"[3, 4, 1, 7, 2, 0, 5, 8, 6, 9]|[0, 0, 1, 0, 1, 0, 0, 1, 1, 0]|null|[0, 0, 0, 0, 1, 0, 1, 0, 1, 1]"
3,104,"3,4,8,6,2,7,5,1,0,9","0,0,1,1,1,0,0,0,1,0","0,1,1,0,0,1,0,1,1,0","1,0,0,1,1,0,1,0,0,1",57.980382136087200,2068.2913797720507,2758.8135879295855,"[3, 4, 8, 6, 2, 7, 5, 1, 0, 9]|[0, 0, 1, 1, 1, 0, 0, 0, 1, 0]|null|[1, 0, 0, 1, 1, 0, 1, 0, 0, 1]"
4,229,"3,8,6,0,1,5,2,4,7,9","0,1,1,1,0,0,1,1,0,0","0,0,1,1,1,1,1,0,1,0","1,1,0,0,0,0,0,1,0,1",52.390867195770670,2038.5349547553656,2878.4766015628740,"[3, 8, 6, 0, 1, 5, 2, 4, 7, 9]|[0, 1, 1, 1, 0, 0, 1, 1, 0, 0]|null|[1, 1, 0, 0, 0, 0, 0, 1, 0, 1]"
5,259,"3,4,6,0,8,5,2,1,7,9","0,1,1,1,0,0,1,1,0,0","0,0,1,1,1,1,1,0,1,0","1,1,0,0,0,0,0,1,0,1",51.275062268681765,2051.2032616195384,2842.6956074557580,"[3, 4, 6, 0, 8, 5, 2, 1, 7, 9]|[0, 1, 1, 1, 0, 0, 1, 1, 0, 0]|null|[1, 1, 0, 0, 0, 0, 0, 1, 0, 1]"
6,267,"3,4,6,7,5,1,2,9,8,0","0,0,1,0,0,1,1,0,0,0","0,1,1,1,0,1,0,0,1,0","1,0,0,0,1,0,1,1,0,1",55.689139878950430,2099.8416461941350,2754.2473045813630,"[3, 4, 6, 7, 5, 1, 2, 9, 8, 0]|[0, 0, 1, 0, 0, 1, 1, 0, 0, 0]|null|[1, 0, 0, 0, 1, 0, 1, 1, 0, 1]"
7,279,"3,2,7,6,1,8,0,9,5,4","1,1,1,0,1,1,0,0,0,1","1,0,0,0,1,1,0,0,0,0","0,1,1,0,0,0,0,1,0,1",59.061245326278350,1975.7432009646302,3266.3222958987160,"[3, 2, 7, 6, 1, 8, 0, 9, 5, 4]|[1, 1, 1, 0, 1, 1, 0, 0, 0, 1]|null|[0, 1, 1, 0, 0, 0, 0, 1, 0, 1]"
8,293,"3,4,5,0,2,7,6,9,1,8","0,0,1,1,1,1,1,0,0,1","0,0,1,1,0,0,0,0,0,1","1,0,0,0,1,1,1,1,0,0",64.706233744498770,1968.0126479136866,3336.7477672251920,"[3, 4, 5, 0, 2, 7, 6, 9, 1, 8]|[0, 0, 1, 1, 1, 1, 1, 0, 0, 1]|null|[1, 0, 0, 0, 1, 1, 1, 1, 0, 0]"
9,320,"4,3,5,6,2,7,0,9,1,8","0,0,1,1,1,0,0,0,1,1","0,0,0,1,0,1,0,0,0,1","1,1,1,0,1,0,0,1,1,0",53.312978439432484,2008.2885460129805,3043.6918771074370,"[4, 3, 5, 6, 2, 7, 0, 9, 1, 8]|[0, 0, 1, 1, 1, 0, 0, 0, 1, 1]|null|[1, 1, 1, 0, 1, 0, 0, 1, 1, 0]"
